check_number,name,date,species,year,country,discoverer ,lat,long,link,image,ref,ref_link,CHECK
82,LD 350-1,2.775±0.025,Homo sp.,2013,Ethiopia,Chalachew Seyoum,11.25,40.7,"<a href=""HERE"">Click here for more info</a>",,,,
83,Le Moustier,40±10,Homo neanderthalensis,1909,France,n/a,44.993889,1.06,"<a href=""HERE"">Click here for more info</a>",,,,
84,LH 18,120±30,Homo sapiens,1976,"Ngaloba beds at Laetoli, Tanzania",Mary Leakey[98],-2.996111,35.3525,"<a href=""HERE"">Click here for more info</a>",,,,
85,LH 4,3.40±0.50,Australopithecus afarensis,1974,"Laetoli, Tanzania",Mary Leakey[14],-2.996111,35.3525,"<a href=""HERE"">Click here for more info</a>",,,,
86,Manot 1,55,Homo sapiens,2008,Israel,n/a,33.035,35.193333,"<a href=""HERE"">Click here for more info</a>",,,,
87,Mauer 1,0.5,Homo heidelbergensis,1907,Germany,Daniel Hartmann,49.348558,8.800694,"<a href=""HERE"">Click here for more info</a>",,,,
88,MH1 (Karabo),1.98,Australopithecus sediba,2008,"Malapa, South Africa",Lee R. Berger,-25.8951,27.8013,"<a href=""HERE"">Click here for more info</a>",,,,
89,Minatogawa 1,17±1,Homo sapiens,1970,Japan,n/a,26.212222,127.679167,"<a href=""HERE"">Click here for more info</a>",,,,
90,Misliya-1,187±13,Homo sapiens,2002,Israel,Israel Hershkovitz,32.7413,34.9724,"<a href=""HERE"">Click here for more info</a>",,,,
91,Mojokerto 1,1.43±0.10,Homo erectus,1936,Indonesia,"Andojo, G.H.R. von Koenigswald",-7.472222,112.433611,"<a href=""HERE"">Click here for more info</a>",,,,
92,Mt. Circeo 1,50±10,Homo neanderthalensis,1939,Italy,Prof. Blanc,41.2333,13.05,"<a href=""HERE"">Click here for more info</a>",,,,
93,Mungo Man,50±10,Homo sapiens,1974,Australia,n/a,-33.75,143.083333,"<a href=""HERE"">Click here for more info</a>",,,,
94,Ndutu,0.4,Uncertain,1973,Tanzania,A.A. Mturi,-3.366667,36.683333,"<a href=""HERE"">Click here for more info</a>",,,,check location?
95,Neanderthal 1,40,Homo neanderthalensis,1856,Germany,Johann Carl Fuhlrott,51.2275,6.945556,"<a href=""HERE"">Click here for more info</a>",,,,
96,Ngandong 7,112[,Homo erectus,1931,Indonesia,C. ter Haar and G. H. R. von Koenigswald,-6.95,111.416667,"<a href=""HERE"">Click here for more info</a>",,,,
97,Oase 1,42Äì37,Homo sapiens,2002,Romania,n/a,45.016667,21.833333,"<a href=""HERE"">Click here for more info</a>",,,,
98,Obi-Rakhmat 1,75,Homo neanderthalensis,2003,Uzbekistan,n/a,41.569111,70.133417,"<a href=""HERE"">Click here for more info</a>",,,,
